"","state_county","fips","state","abbr","start.date","end.date","duration","count.max","sr","r0","r0.Pr","r0.ave3","r0.ave5","r0.est","r0.est.se","r0.est.ave3","r0.est.ave5","r0.u95","r0.u66","r0.l66","r0.l95","r1","r1.Pr","r1.est","r1.est.se","r1.u95","r1.u66","r1.l66","r1.l95","rmax","rmax.est","rmax.u95","rmax.u66","rmax.l66","rmax.l95","rmin","rmin.est","rmin.u95","rmin.u66","rmin.l66","rmin.l95"
"1","WA_Snohomish",53061,"Washington","WA",2020-03-02,2020-05-05,65,2.19722457733622,0.02,0.00246224604475422,4e-04,0.00238967230007745,0.00221770872774963,0.0263124613614529,0.0342041770746479,0.0263105317651763,0.0262220847395933,0.084110624395247,0.0550297096653435,-0.00902269897879669,-0.0364427765262058,0.0105584811972998,0.00425352265857091,-0.0384193550965495,0.0342041770746479,0.0309699616626462,-0.0131761822955204,-0.0634281453682901,-0.08903262003687,0.0185470254450292,0.0269886148081114,0.091995029352211,0.0606179856253295,-0.0097237644873909,-0.029637609897915,-0.0145312494359368,-0.0600333971562859,0.0194089246905264,-0.0281717942581438,-0.0868926373618571,-0.120734585784715
"2","IL_Cook",17031,"Illinois","IL",2020-03-02,2020-05-05,65,4.9416424226093,0.02,0.194203986511674,4e-04,0.194033741465142,0.194324749772944,0.187491490727729,0.0293070730911936,0.187500874963542,0.187403247717862,0.248574751590039,0.215886113061768,0.156717998921983,0.128063990718646,-0.0105576868471845,0.00276467845374079,0.00150256242960562,0.0293070730911936,0.0394133347572059,0.0286212507244895,-0.0293995230143021,-0.0624634148258598,0.174989074291432,0.188295449328813,0.24557864584221,0.221793111782041,0.154749356116655,0.129723331021285,0.0311829043628795,-0.00392668150608513,0.0607088239626186,0.0280275177322058,-0.0341493803809678,-0.0692322326810185
"3","CA_Orange",6059,"California","CA",2020-03-18,2020-05-05,49,2.63905732961526,0.02,0.0481310936850274,4e-04,0.0480169601368066,0.0480280122104956,0.0331230168051883,0.0337652783172674,0.0331332631038239,0.0331931255605955,0.103512394945268,0.0641115737588196,-9.2678015641382e-05,-0.047642471793146,0.0563802767871989,0.00370968310940365,0.00462826273027112,0.0337652783172674,0.0713571049716545,0.0326452897787834,-0.0260676212517031,-0.0559018282766642,0.00470563144926535,0.0337626018674807,0.0956752262565508,0.0681355803329923,-0.00288571969992074,-0.047553046503337,0.0321692446364991,0.00356741718509857,0.0541006933919549,0.0349628812364206,-0.0246935242398802,-0.0482347144185464
"4","AZ_Maricopa",4013,"Arizona","AZ",2020-03-07,2020-05-05,60,3.52636052461616,0.02,0.0715157754967127,4e-04,0.0715475453464267,0.0704273018054891,0.061279055742558,0.0324978452601125,0.0612968267411576,0.0612000209607904,0.121954081331742,0.090947357980812,0.0315011637173943,-0.0178905206068504,0.0149246333304182,0.00404111037155061,0.0399638633280974,0.0324978452601125,0.111085433944558,0.0674102779529771,0.00838106418780821,-0.0289614508890952,0.0529193359560971,0.0625504201723469,0.148829799927231,0.106875381759308,0.020272708048858,-0.021843956559468,0.0489862981449409,0.0160862295095941,0.0762721685535227,0.0446361033351693,-0.0142516966117517,-0.0503655687004314
"5","CA_Los Angeles",6037,"California","CA",2020-03-03,2020-05-05,64,4.56434819146784,0.02,0.157246943251248,4e-04,0.156773442080371,0.156009245086714,0.148090617647726,0.0312698878277775,0.148087970938253,0.147997435019514,0.203790490550854,0.177631144710347,0.114249323250224,0.0773540263977046,0.0145792671815646,0.00334363550829873,-0.0295556807191438,0.0312698878277775,0.0229449787850828,-0.00262416705514769,-0.0612764193691206,-0.126121340841061,0.142772843247229,0.148651991560664,0.213864919095749,0.192851661913452,0.105898911646036,0.0559866226844472,0.0149010979834096,-0.0327420493951897,0.02359283236178,-0.000205868378247867,-0.063234227046078,-0.108249104818057
"6","CA_Santa Clara",6085,"California","CA",2020-03-01,2020-05-05,66,2.30258509299405,0.02,0.0392217108677344,4e-04,0.0389186231607121,0.038457749163753,0.0321793131733396,0.0355285985269186,0.032164969613508,0.032115103280723,0.104758692889351,0.0679267565255093,-0.0019501171350163,-0.0513748662736562,-0.047262557529004,0.00436416673134065,-0.0412960018582531,0.0355285985269186,0.0174872575042801,-0.0142341546961099,-0.0661406041808143,-0.0946180638480574,0.0240954735310803,0.0340060335607565,0.101980501977475,0.0780421937917023,-0.00632877317787343,-0.0303382907130344,-0.0498217132446734,-0.0422142983278354,0.0139268949986791,-0.0133340029095001,-0.0698490711691171,-0.0926553737255601
"7","MA_Suffolk",25025,"Massachusetts","MA",2020-03-09,2020-05-05,58,3.55534806148941,0.0216038982207604,0.16010487163492,0.000466728418332974,0.159550389454022,0.158655885028416,0.160788115309625,0.0375376609281707,0.160767109787364,0.160593037236743,0.222788193440822,0.197150925322442,0.123433531809987,0.0735301353381984,-0.0651684482215229,0.00343019475092109,-0.078805988111328,0.0375376609281707,-0.0125423803571258,-0.0529713174570761,-0.110290018524966,-0.147553905428586,0.180249016015882,0.161000352443855,0.224075197523933,0.197971134956336,0.124007037965942,0.077361693725415,-0.0467951588369419,-0.0809049563057707,-0.0346712889660321,-0.052900470485582,-0.107233820585329,-0.138341444149406
"8","CA_San Francisco",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","WI_Dane",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CA_San Diego",6073,"California","CA",2020-03-06,2020-05-05,61,2.99573227355399,0.02,0.0495873587597113,4e-04,0.0494777200433266,0.0497144924258491,0.037101398603095,0.0315353598172457,0.037091984784588,0.037078354811893,0.0946181309878767,0.0716833199608297,0.00330600032315947,-0.021946219717248,-0.0480511321690993,0.00441247607450737,-0.00913352089145193,0.0315353598172457,0.0504017247386468,0.0174257773353076,-0.0375275964465768,-0.0823625377419033,0.0374572547134702,0.0387838626191118,0.100226956993332,0.0787553720262503,-0.00255616753477022,-0.0340978377542014,-0.0480511321690993,-0.00913352089145193,0.0504017247386468,0.0174257773353076,-0.0375275964465768,-0.0823625377419033
"11","TX_Bexar",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","NE_Douglas",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CA_Humboldt",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CA_Sacramento",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CA_Solano",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","WA_Spokane",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
