"","state_county","fips","state","abbr","start.date","end.date","duration","count.max","sr","r0","r0.Pr","r0.ave3","r0.ave5","r0.est","r0.est.se","r0.est.ave3","r0.est.ave5","r0.u95","r0.u66","r0.l66","r0.l95","r1","r1.Pr","r1.est","r1.est.se","r1.u95","r1.u66","r1.l66","r1.l95","rmax","rmax.est","rmax.u95","rmax.u66","rmax.l66","rmax.l95","rmin","rmin.est","rmin.u95","rmin.u66","rmin.l66","rmin.l95"
"1","WA_Snohomish",53061,"Washington","WA",2020-03-02,2020-05-05,65,2.19722457733622,0.02,0.0492960974978631,0.00383582863469244,0.0504312635679901,0.046066330196713,0.0058863434012923,0.0329722799705509,-0.000333868774205291,-0.00582676120966763,0.0592624513941921,0.0374165665258274,-0.0277176008492214,-0.065201020936599,-0.0340893252703839,0.000799869804135692,-0.0268770646419961,0.0329722799705509,0.0674776329490947,0.00578123297879015,-0.062322376684062,-0.108885221530378,0.00534729015765728,0.00711304944925904,0.0655074226536654,0.0394330068926067,-0.0209321691336751,-0.0598774621452217,-0.00551884680594108,-0.0359780743820181,0.0172598687731723,-0.00307073825256469,-0.0686956797022001,-0.0939820109182928
"2","IL_Cook",17031,"Illinois","IL",2020-03-02,2020-05-05,65,4.9416424226093,0.0200838481841937,0.212992720749242,0.00368164307009094,0.208642058288924,0.207760881884605,0.148046169960789,0.0253936578249665,0.138274104570528,0.126252281142604,0.205001794684574,0.173577354657886,0.1225317049573,0.0997105994899363,-0.0114113967246866,0.000806016570065462,-0.0120635777641739,0.0253936578249665,0.0405969724718876,0.0224952828109153,-0.0412336453227434,-0.0576541062368887,0.212992720749242,0.148046169960789,0.205001794684574,0.173577354657886,0.1225317049573,0.0997105994899363,-0.00468467008365937,-0.013629503489822,0.0685978968974049,0.0188490616550183,-0.0490815109989468,-0.0853073969577687
"3","CA_Orange",6059,"California","CA",2020-03-18,2020-05-05,49,2.63905732961526,0.02,0.0396408218437665,0.00439573274055292,0.0333608300836139,0.0341051147030292,0.023029747904385,0.0287884985137752,0.0244001258621581,0.0250770054696968,0.096774386916869,0.046374436179166,-0.00482475774947788,-0.0329448199702273,0.0583873322866356,0.000799752418220303,0.0673633889545624,0.0287884985137752,0.122776789732519,0.0924445851956805,0.0355501496983607,0.00807695651791815,0.0399728308084072,0.0715334332063615,0.133983111700351,0.0995521085709536,0.0380825100462843,0.0118251852779382,0.0450898212959748,0.0186408717324899,0.0785161687512896,0.0426835801386266,-0.0116255995466828,-0.0482776300740869
"4","AZ_Maricopa",4013,"Arizona","AZ",2020-03-07,2020-05-05,60,3.52636052461616,0.02,0.0698002776860266,0.00454803011129697,0.0666706055073049,0.065015575881144,0.0251554791360911,0.0281238417241311,0.0234240138823736,0.0224044516324001,0.079151803525696,0.056459046294573,-0.0063856009910802,-0.0258658481720629,0.0329144851823516,0.000799837458980553,0.0230971668117874,0.0281238417241311,0.0762053868508828,0.0470422315547158,-0.00438619355979211,-0.0361256280817334,0.0487093628824972,0.0438194200853271,0.105267942406086,0.0781208241804232,0.00661216008896132,-0.0264348756768914,0.0695410442997129,0.0198295030775343,0.0801148144433543,0.0494497813259952,-0.0103875194797429,-0.039261429410314
"5","CA_Los Angeles",6037,"California","CA",2020-03-03,2020-05-05,64,4.56434819146784,0.02,0.154125493798727,0.00373644201986517,0.148099856555941,0.139078323410268,0.0972160389403627,0.0278485665149326,0.0911487435947725,0.0851980830741145,0.150109111537532,0.126719316197953,0.0717789237699064,0.0299690453709788,0.032650319014914,0.000799663433087849,0.0310609090468973,0.0278485665149326,0.0917029202796677,0.0548249253996032,0.00194571367376033,-0.0413837245684437,0.154125493798727,0.0972160389403627,0.150109111537532,0.126719316197953,0.0717789237699064,0.0299690453709788,-0.00838097253590877,-0.0242169064166871,0.0338772315541659,-0.00181183572870624,-0.0529998727503754,-0.0872685006225315
"6","CA_Santa Clara",6085,"California","CA",2020-03-01,2020-05-05,66,2.30258509299405,0.02,0.0348875365499544,0.00396879244200787,0.0262765903321992,0.0200754519750824,0.0130561916646914,0.0341641402721599,0.0116175865296024,0.0114137971632082,0.0696593173594622,0.0435800067637001,-0.0263915889074305,-0.0661107838499465,-0.0546581810040483,0.000799889464678184,-0.0405540670101973,0.0341641402721599,0.0809973720537621,-0.00413491953329224,-0.0765263514881007,-0.131181434775601,0.0348875365499544,0.0130561916646914,0.0696593173594622,0.0435800067637001,-0.0263915889074305,-0.0661107838499465,-0.0516124110051812,-0.0429806174418237,0.058973552604043,-0.00284779251092551,-0.0771318833163123,-0.132003165647308
"7","MA_Suffolk",25025,"Massachusetts","MA",2020-03-09,2020-05-05,58,3.55534806148941,0.0214957955684911,0.180093811086073,0.00419370660932959,0.173399484072156,0.162904276896972,0.144435828584198,0.0258640449208482,0.137361793913122,0.12947644435584,0.195700673995661,0.165790471846834,0.121543497484836,0.0852388828647842,-0.0116130833068515,0.000923440037511146,-0.0150977294575158,0.0258640449208482,0.0401047741448366,0.0116095132311685,-0.0434293813932344,-0.0635357355939179,0.180093811086073,0.144435828584198,0.195700673995661,0.165790471846834,0.121543497484836,0.0852388828647842,-0.0451834564936937,-0.0699576746406657,-0.0196801981522719,-0.0470116998194505,-0.0941137838521768,-0.131762598626064
"8","CA_San Francisco",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","WI_Dane",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CA_San Diego",6073,"California","CA",2020-03-06,2020-05-05,61,2.99573227355399,0.02,0.0481199339484753,0.00475224983845002,0.0479672940069136,0.0487790218136839,0.0346655608475423,0.0393437562481688,0.0315779660056734,0.0307560696291359,0.106976989234252,0.0709452855112685,-0.00629729246578653,-0.0494908254923406,-0.0237875833324834,0.000799899093081023,-0.0352818716770123,0.0393437562481688,0.0461293548193937,0.00373802565297416,-0.0751596074905017,-0.131496518108613,0.0481199339484753,0.0346655608475423,0.106976989234252,0.0709452855112685,-0.00629729246578653,-0.0494908254923406,-0.0226718877830632,-0.0354907255217481,0.0409046393096077,0.00396750069854042,-0.0730619736800398,-0.134977734977056
"11","TX_Bexar",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","NE_Douglas",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CA_Humboldt",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CA_Sacramento",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CA_Solano",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","WA_Spokane",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","UT_Salt Lake",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CA_Marin",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","CA_Napa",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CA_Sonoma",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","OR_Washington",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","WA_King",53033,"Washington","WA",2020-02-11,2020-05-05,85,2.94443897916644,0.02,0.0630971817156338,0.00391354935535658,0.061897166842824,0.0728450488902882,0.0629326274465952,0.032044686941253,0.0594716336308597,0.0575053802686986,0.120937590753918,0.0956973052346628,0.0271681106150641,-0.00744665124563699,-0.0838225103206731,0.000799835590501329,-0.0805767728286887,0.032044686941253,0.00330237770807486,-0.0419467844907775,-0.115947157878495,-0.149988517615371,0.0630971817156338,0.0629326274465952,0.120937590753918,0.0956973052346628,0.0271681106150641,-0.00744665124563699,-0.0342169622881285,-0.0820679937526203,-0.0236809853063351,-0.0485853643546761,-0.113532389417979,-0.147012948755768
"23","CA_Alameda",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","FL_Hillsborough",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","FL_Manatee",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","NY_New York City",NA,"New York","NY",2020-02-25,2020-05-05,71,7.1074254741107,0.0349063492684549,0.38038263395961,0.00760203167149802,0.371118437455353,0.351347493376129,0.301351699170019,0.0393398196343486,0.28051723450165,0.262631502909288,0.389649148655012,0.339225965193376,0.261524317246296,0.221842614759673,-0.0633979876460385,0.0024281235904024,-0.0619997452740907,0.0393398196343486,0.0153920264688849,-0.0237597791530379,-0.108432830177582,-0.152833529013912,0.38038263395961,0.301351699170019,0.389649148655012,0.339225965193376,0.261524317246296,0.221842614759673,-0.11911402070062,-0.0908126933134542,-0.00383035375122215,-0.0541601384613456,-0.129961319776538,-0.167206187525048
"27","RI_Unknown",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CA_Placer",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","CA_San Mateo",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
